Entry_date_time,Future_price,Transaction_Type,Strike,Type_of_Strike,Days_to_expiry,CE_symbol,CE_entry_price,CE_exit_price,CE_exit_datetime,CE_pnl,PE_symbol,PE_entry_price,PE_exit_price,PE_exit_datetime,PE_pnl,Total_pnl
2019-01-01 10:30:00,27198.9,Sell,27200,ATM,2,BANKNIFTY03JAN1927200CE.NFO,106.95,128.34,2019-01-01 14:29:00,-21.39,BANKNIFTY03JAN1927200PE.NFO,199.0,54.3,2019-01-01 15:20:00,144.7,123.30999999999999
2019-01-01 10:30:00,27198.9,Buy,26700,ITM,2,BANKNIFTY03JAN1926700CE.NFO,420.05,689.2,2019-01-01 15:20:00,269.15000000000003,BANKNIFTY03JAN1926700PE.NFO,28.8,22.95,2019-01-01 12:05:00,-5.850000000000001,263.3
2019-01-01 10:30:00,27198.9,Buy,27700,OTM,2,BANKNIFTY03JAN1927700CE.NFO,8.2,6.55,2019-01-01 13:33:00,-1.6499999999999995,BANKNIFTY03JAN1927700PE.NFO,612.7,490.16,2019-01-01 14:29:00,-122.54000000000002,-124.19000000000003
2019-01-02 10:30:00,27487.65,Sell,27500,ATM,1,BANKNIFTY03JAN1927500CE.NFO,74.15,20.7,2019-01-02 15:20:00,53.45,BANKNIFTY03JAN1927500PE.NFO,185.75,222.9,2019-01-02 12:21:00,-37.150000000000006,16.299999999999997
2019-01-02 10:30:00,27487.65,Buy,27000,ITM,1,BANKNIFTY03JAN1927000CE.NFO,392.8,310.05,2019-01-02 12:22:00,-82.75,BANKNIFTY03JAN1927000PE.NFO,24.55,48.55,2019-01-02 15:20:00,23.999999999999996,-58.75
2019-01-02 10:30:00,27487.65,Buy,28000,OTM,1,BANKNIFTY03JAN1928000CE.NFO,3.5,2.65,2019-01-02 11:28:00,-0.8500000000000001,BANKNIFTY03JAN1928000PE.NFO,605.5,824.0,2019-01-02 15:20:00,218.5,217.65
2019-01-03 10:30:00,27271.0,Sell,27300,ATM,0,BANKNIFTY03JAN1927300CE.NFO,26.15,0.05,2019-01-03 15:20:00,26.099999999999998,BANKNIFTY03JAN1927300PE.NFO,157.65,189.18,2019-01-03 10:39:00,-31.53,-5.430000000000003
2019-01-03 10:30:00,27271.0,Buy,26800,ITM,0,BANKNIFTY03JAN1926800CE.NFO,346.35,270.4,2019-01-03 10:45:00,-75.95000000000005,BANKNIFTY03JAN1926800PE.NFO,2.85,2.2800000000000002,2019-01-03 13:08:00,-0.5699999999999998,-76.52000000000004
2019-01-03 10:30:00,27271.0,Buy,27800,OTM,0,BANKNIFTY03JAN1927800CE.NFO,0.1,0.05,2019-01-03 10:52:00,-0.05,BANKNIFTY03JAN1927800PE.NFO,630.2,804.05,2019-01-03 15:20:00,173.8499999999999,173.7999999999999
2019-01-04 10:30:00,27099.85,Sell,27100,ATM,6,BANKNIFTY10JAN1927100CE.NFO,177.7,213.23999999999998,2019-01-04 11:00:00,-35.53999999999999,BANKNIFTY10JAN1927100PE.NFO,270.5,136.1,2019-01-04 15:20:00,134.4,98.86000000000001
2019-01-04 10:30:00,27099.85,Buy,26600,ITM,6,BANKNIFTY10JAN1926600CE.NFO,460.0,655.5,2019-01-04 15:20:00,195.5,BANKNIFTY10JAN1926600PE.NFO,81.5,57.75,2019-01-04 11:00:00,-23.75,171.75
2019-01-04 10:30:00,27099.85,Buy,27600,OTM,6,BANKNIFTY10JAN1927600CE.NFO,36.0,61.15,2019-01-04 15:20:00,25.15,BANKNIFTY10JAN1927600PE.NFO,612.0,470.85,2019-01-04 11:09:00,-141.14999999999998,-115.99999999999997
2019-01-08 10:30:00,27430.0,Sell,27400,ATM,2,BANKNIFTY10JAN1927400CE.NFO,118.35,142.01999999999998,2019-01-08 14:04:00,-23.669999999999987,BANKNIFTY10JAN1927400PE.NFO,194.1,232.92,2019-01-08 11:36:00,-38.81999999999999,-62.48999999999998
2019-01-08 10:30:00,27430.0,Buy,26900,ITM,2,BANKNIFTY10JAN1926900CE.NFO,430.4,600.05,2019-01-08 15:20:00,169.64999999999998,BANKNIFTY10JAN1926900PE.NFO,28.5,22.0,2019-01-08 13:35:00,-6.5,163.14999999999998
2019-01-08 10:30:00,27430.0,Buy,27900,OTM,2,BANKNIFTY10JAN1927900CE.NFO,10.75,8.3,2019-01-08 10:46:00,-2.4499999999999993,BANKNIFTY10JAN1927900PE.NFO,565.0,452.0,2019-01-08 14:16:00,-113.0,-115.45
2019-01-09 10:30:00,27684.95,Sell,27700,ATM,1,BANKNIFTY10JAN1927700CE.NFO,67.25,80.7,2019-01-09 13:22:00,-13.450000000000003,BANKNIFTY10JAN1927700PE.NFO,183.95,220.73999999999998,2019-01-09 13:51:00,-36.78999999999999,-50.239999999999995
2019-01-09 10:30:00,27684.95,Buy,27100,ITM,1,BANKNIFTY10JAN1927100CE.NFO,483.2,382.4,2019-01-09 13:53:00,-100.80000000000001,BANKNIFTY10JAN1927100PE.NFO,14.45,10.7,2019-01-09 12:18:00,-3.75,-104.55000000000001
2019-01-09 10:30:00,27684.95,Buy,28300,OTM,1,BANKNIFTY10JAN1928300CE.NFO,1.3,1.0,2019-01-09 13:52:00,-0.30000000000000004,BANKNIFTY10JAN1928300PE.NFO,,625.0,2019-01-09 15:20:00,,
2019-01-10 10:30:00,27698.05,Sell,27700,ATM,0,BANKNIFTY10JAN1927700CE.NFO,34.35,0.05,2019-01-10 15:20:00,34.300000000000004,BANKNIFTY10JAN1927700PE.NFO,109.0,130.8,2019-01-10 11:00:00,-21.80000000000001,12.499999999999993
2019-01-10 10:30:00,27698.05,Buy,27100,ITM,0,BANKNIFTY10JAN1927100CE.NFO,500.95,399.7,2019-01-10 13:36:00,-101.25,BANKNIFTY10JAN1927100PE.NFO,0.4,0.3,2019-01-10 11:46:00,-0.10000000000000003,-101.35
2019-01-10 10:30:00,27698.05,Buy,28300,OTM,0,BANKNIFTY10JAN1928300CE.NFO,0.1,0.05,2019-01-10 10:42:00,-0.05,BANKNIFTY10JAN1928300PE.NFO,,,2019-01-10 15:20:00,,
2019-01-11 10:30:00,27621.3,Sell,27600,ATM,6,BANKNIFTY17JAN1927600CE.NFO,181.05,137.95,2019-01-11 15:20:00,43.10000000000002,BANKNIFTY17JAN1927600PE.NFO,229.0,274.8,2019-01-11 12:02:00,-45.80000000000001,-2.6999999999999886
2019-01-11 10:30:00,27621.3,Buy,27000,ITM,6,BANKNIFTY17JAN1927000CE.NFO,575.0,504.85,2019-01-11 15:20:00,-70.14999999999998,BANKNIFTY17JAN1927000PE.NFO,39.4,45.3,2019-01-11 15:20:00,5.899999999999999,-64.24999999999997
2019-01-11 10:30:00,27621.3,Buy,28200,OTM,6,BANKNIFTY17JAN1928200CE.NFO,20.9,15.65,2019-01-11 11:33:00,-5.249999999999998,BANKNIFTY17JAN1928200PE.NFO,660.5,664.9,2019-01-11 15:20:00,4.399999999999977,-0.850000000000021
2019-01-14 10:30:00,27343.0,Sell,27300,ATM,3,BANKNIFTY17JAN1927300CE.NFO,171.2,163.85,2019-01-14 15:20:00,7.349999999999994,BANKNIFTY17JAN1927300PE.NFO,175.3,165.75,2019-01-14 15:20:00,9.550000000000011,16.900000000000006
2019-01-14 10:30:00,27343.0,Buy,26800,ITM,3,BANKNIFTY17JAN1926800CE.NFO,494.55,507.9,2019-01-14 15:20:00,13.349999999999966,BANKNIFTY17JAN1926800PE.NFO,28.65,22.9,2019-01-14 12:40:00,-5.75,7.599999999999966
2019-01-14 10:30:00,27343.0,Buy,27800,OTM,3,BANKNIFTY17JAN1927800CE.NFO,29.0,24.5,2019-01-14 15:20:00,-4.5,BANKNIFTY17JAN1927800PE.NFO,528.0,517.15,2019-01-14 15:20:00,-10.850000000000023,-15.350000000000023
2019-01-15 10:30:00,27467.0,Sell,27500,ATM,2,BANKNIFTY17JAN1927500CE.NFO,100.9,112.0,2019-01-15 15:20:00,-11.099999999999994,BANKNIFTY17JAN1927500PE.NFO,186.6,153.35,2019-01-15 15:20:00,33.25,22.150000000000006
2019-01-15 10:30:00,27467.0,Buy,27000,ITM,2,BANKNIFTY17JAN1927000CE.NFO,425.65,459.85,2019-01-15 15:20:00,34.200000000000045,BANKNIFTY17JAN1927000PE.NFO,23.7,18.8,2019-01-15 11:20:00,-4.899999999999999,29.300000000000047
2019-01-15 10:30:00,27467.0,Buy,28000,OTM,2,BANKNIFTY17JAN1928000CE.NFO,8.05,6.4,2019-01-15 14:37:00,-1.6500000000000004,BANKNIFTY17JAN1928000PE.NFO,587.4,549.0,2019-01-15 15:20:00,-38.39999999999998,-40.049999999999976
2019-01-16 10:30:00,27604.0,Sell,27600,ATM,1,BANKNIFTY17JAN1927600CE.NFO,70.7,41.5,2019-01-16 15:20:00,29.200000000000003,BANKNIFTY17JAN1927600PE.NFO,148.0,159.9,2019-01-16 15:20:00,-11.900000000000006,17.299999999999997
2019-01-16 10:30:00,27604.0,Buy,27000,ITM,1,BANKNIFTY17JAN1927000CE.NFO,511.45,471.0,2019-01-16 15:20:00,-40.44999999999999,BANKNIFTY17JAN1927000PE.NFO,6.3,5.0,2019-01-16 12:39:00,-1.2999999999999998,-41.749999999999986
2019-01-16 10:30:00,27604.0,Buy,28200,OTM,1,BANKNIFTY17JAN1928200CE.NFO,1.1,0.85,2019-01-16 13:02:00,-0.2500000000000001,BANKNIFTY17JAN1928200PE.NFO,663.75,651.55,2019-01-16 15:20:00,-12.200000000000045,-12.450000000000045
2019-01-17 10:30:00,27558.25,Sell,27600,ATM,0,BANKNIFTY17JAN1927600CE.NFO,15.55,0.1,2019-01-17 15:20:00,15.450000000000001,BANKNIFTY17JAN1927600PE.NFO,121.5,145.8,2019-01-17 12:01:00,-24.30000000000001,-8.85000000000001
2019-01-17 10:30:00,27558.25,Buy,27000,ITM,0,BANKNIFTY17JAN1927000CE.NFO,473.5,369.85,2019-01-17 13:16:00,-103.64999999999998,BANKNIFTY17JAN1927000PE.NFO,0.35,0.25,2019-01-17 11:05:00,-0.09999999999999998,-103.74999999999997
2019-01-17 10:30:00,27558.25,Buy,28200,OTM,0,BANKNIFTY17JAN1928200CE.NFO,0.05,0.05,2019-01-17 15:20:00,0.0,BANKNIFTY17JAN1928200PE.NFO,695.0,620.6,2019-01-17 15:20:00,-74.39999999999998,-74.39999999999998
2019-01-18 10:30:00,27541.1,Sell,27500,ATM,6,BANKNIFTY24JAN1927500CE.NFO,197.2,192.8,2019-01-18 15:20:00,4.399999999999977,BANKNIFTY24JAN1927500PE.NFO,193.55,177.0,2019-01-18 15:20:00,16.55000000000001,20.94999999999999
2019-01-18 10:30:00,27541.1,Buy,27000,ITM,6,BANKNIFTY24JAN1927000CE.NFO,540.0,540.0,2019-01-18 15:20:00,0.0,BANKNIFTY24JAN1927000PE.NFO,44.3,35.25,2019-01-18 10:49:00,-9.049999999999997,-9.049999999999997
2019-01-18 10:30:00,27541.1,Buy,28000,OTM,6,BANKNIFTY24JAN1928000CE.NFO,34.35,34.05,2019-01-18 15:20:00,-0.30000000000000426,BANKNIFTY24JAN1928000PE.NFO,515.0,512.0,2019-01-18 15:20:00,-3.0,-3.3000000000000043
2019-01-21 10:30:00,27613.7,Sell,27600,ATM,3,BANKNIFTY24JAN1927600CE.NFO,168.6,143.15,2019-01-21 15:20:00,25.44999999999999,BANKNIFTY24JAN1927600PE.NFO,184.3,196.9,2019-01-21 15:20:00,-12.599999999999994,12.849999999999994
2019-01-21 10:30:00,27613.7,Buy,27000,ITM,3,BANKNIFTY24JAN1927000CE.NFO,600.0,562.9,2019-01-21 15:20:00,-37.10000000000002,BANKNIFTY24JAN1927000PE.NFO,25.6,28.4,2019-01-21 15:20:00,2.799999999999997,-34.300000000000026
2019-01-21 10:30:00,27613.7,Buy,28200,OTM,3,BANKNIFTY24JAN1928200CE.NFO,14.95,11.9,2019-01-21 11:21:00,-3.049999999999999,BANKNIFTY24JAN1928200PE.NFO,618.45,609.0,2019-01-21 15:20:00,-9.450000000000045,-12.500000000000044
2019-01-22 10:30:00,27509.25,Sell,27500,ATM,2,BANKNIFTY24JAN1927500CE.NFO,140.75,140.75,2019-01-22 15:20:00,0.0,BANKNIFTY24JAN1927500PE.NFO,158.95,146.25,2019-01-22 15:20:00,12.699999999999989,12.699999999999989
2019-01-22 10:30:00,27509.25,Buy,27000,ITM,2,BANKNIFTY24JAN1927000CE.NFO,495.0,502.2,2019-01-22 15:20:00,7.199999999999989,BANKNIFTY24JAN1927000PE.NFO,22.65,21.25,2019-01-22 15:20:00,-1.3999999999999986,5.79999999999999
2019-01-22 10:30:00,27509.25,Buy,28000,OTM,2,BANKNIFTY24JAN1928000CE.NFO,14.25,11.15,2019-01-22 11:14:00,-3.0999999999999996,BANKNIFTY24JAN1928000PE.NFO,521.75,505.0,2019-01-22 15:20:00,-16.75,-19.85
2019-01-23 10:30:00,27542.75,Sell,27500,ATM,1,BANKNIFTY24JAN1927500CE.NFO,118.0,141.6,2019-01-23 12:15:00,-23.599999999999994,BANKNIFTY24JAN1927500PE.NFO,107.0,128.4,2019-01-23 14:29:00,-21.400000000000006,-45.0
2019-01-23 10:30:00,27542.75,Buy,27000,ITM,1,BANKNIFTY24JAN1927000CE.NFO,512.0,403.4,2019-01-23 14:31:00,-108.60000000000002,BANKNIFTY24JAN1927000PE.NFO,9.6,7.65,2019-01-23 11:40:00,-1.9499999999999993,-110.55000000000003
2019-01-23 10:30:00,27542.75,Buy,28000,OTM,1,BANKNIFTY24JAN1928000CE.NFO,4.05,3.1,2019-01-23 14:21:00,-0.9499999999999997,BANKNIFTY24JAN1928000PE.NFO,479.9,710.0,2019-01-23 15:20:00,230.10000000000002,229.15000000000003
2019-01-24 10:30:00,27288.95,Sell,27300,ATM,0,BANKNIFTY24JAN1927300CE.NFO,36.8,44.16,2019-01-24 10:46:00,-7.359999999999999,BANKNIFTY24JAN1927300PE.NFO,95.1,114.11999999999999,2019-01-24 11:18:00,-19.019999999999996,-26.379999999999995
2019-01-24 10:30:00,27288.95,Buy,26800,ITM,0,BANKNIFTY24JAN1926800CE.NFO,430.6,339.15,2019-01-24 13:43:00,-91.45000000000005,BANKNIFTY24JAN1926800PE.NFO,0.5,0.4,2019-01-24 10:51:00,-0.09999999999999998,-91.55000000000004
2019-01-24 10:30:00,27288.95,Buy,27800,OTM,0,BANKNIFTY24JAN1927800CE.NFO,0.25,0.2,2019-01-24 10:31:00,-0.04999999999999999,BANKNIFTY24JAN1927800PE.NFO,549.2,514.0,2019-01-24 15:20:00,-35.200000000000045,-35.25000000000004
2019-01-25 10:30:00,27432.0,Sell,27400,ATM,6,BANKNIFTY31JAN1927400CE.NFO,200.85,100.1,2019-01-25 15:20:00,100.75,BANKNIFTY31JAN1927400PE.NFO,172.55,207.06,2019-01-25 13:44:00,-34.50999999999999,66.24000000000001
2019-01-25 10:30:00,27432.0,Buy,26900,ITM,6,BANKNIFTY31JAN1926900CE.NFO,552.25,433.85,2019-01-25 14:08:00,-118.39999999999998,BANKNIFTY31JAN1926900PE.NFO,38.25,99.55,2019-01-25 15:20:00,61.3,-57.09999999999998
2019-01-25 10:30:00,27432.0,Buy,27900,OTM,6,BANKNIFTY31JAN1927900CE.NFO,32.5,24.8,2019-01-25 12:24:00,-7.699999999999999,BANKNIFTY31JAN1927900PE.NFO,492.0,739.3,2019-01-25 15:20:00,247.29999999999995,239.59999999999997
2019-01-28 10:30:00,26932.75,Sell,26900,ATM,3,BANKNIFTY31JAN1926900CE.NFO,223.4,112.75,2019-01-28 15:20:00,110.65,BANKNIFTY31JAN1926900PE.NFO,195.7,234.83999999999997,2019-01-28 11:15:00,-39.139999999999986,71.51000000000002
2019-01-28 10:30:00,26932.75,Buy,26400,ITM,3,BANKNIFTY31JAN1926400CE.NFO,671.3,490.35,2019-01-28 11:15:00,-180.94999999999993,BANKNIFTY31JAN1926400PE.NFO,49.7,96.2,2019-01-28 15:20:00,46.5,-134.44999999999993
2019-01-28 10:30:00,26932.75,Buy,27400,OTM,3,BANKNIFTY31JAN1927400CE.NFO,54.55,43.55,2019-01-28 11:15:00,-11.0,BANKNIFTY31JAN1927400PE.NFO,511.75,718.9,2019-01-28 15:20:00,207.14999999999998,196.14999999999998
